GeneID (model organism),Official Gene Symbol (model organism),Suppressor found in (model organism),Human Ortholog Name (Best Match),Human Ortholog GeneID (Best Match),"Other Human Orthologs (up to 3, with GeneID)",ALS Model,How was the suppressor found/tested?,PMCID/PMID,,,,,,,,,,,,,,,,,
40863,lap,D. melanogaster,PICALM,8301,,(G4C2)30 expression driven in eye by GMR-GAL4,RNAi of previously identified proteins with affinity for G4C2,PMC4800742,,,,,,,,,,,,,,,,,
41054,Tcp-1eta,D. melanogaster,CCT7,10574,,(G4C2)30 expression driven in eye by GMR-GAL4,RNAi of previously identified proteins with affinity for G4C2,PMC4800742,,,,,,,,,,,,,,,,,
41108,HP1e,D. melanogaster,CBX1,10951,,(G4C2)30 expression driven in eye by GMR-GAL4,RNAi of previously identified proteins with affinity for G4C2,PMC4800742,,,,,,,,,,,,,,,,,
41930,glob1,D. melanogaster,CYGB,114757,,(G4C2)30 expression driven in eye by GMR-GAL4,RNAi of previously identified proteins with affinity for G4C2,PMC4800742,,,,,,,,,,,,,,,,,
42226,fru,D. melanogaster,ZBTB39,9880,ZBTB1 (22890),(G4C2)30 expression driven in eye by GMR-GAL4,RNAi of previously identified proteins with affinity for G4C2,PMC4800742,,,,,,,,,,,,,,,,,
42426,MFS9,D. melanogaster,SLC17A5,26503,,(G4C2)30 expression driven in eye by GMR-GAL4,RNAi of previously identified proteins with affinity for G4C2,PMC4800742,,,,,,,,,,,,,,,,,
42757,pnt,D. melanogaster,ETS1,2113,,(G4C2)30 expression driven in eye by GMR-GAL4,RNAi of previously identified proteins with affinity for G4C2,PMC4800742,,,,,,,,,,,,,,,,,
42817,mbc,D. melanogaster,DOCK1,1793,,(G4C2)30 expression driven in eye by GMR-GAL4,RNAi of previously identified proteins with affinity for G4C2,PMC4800742,,,,,,,,,,,,,,,,,
43126,CG5890,D. melanogaster,KCNIP1,30820,,(G4C2)30 expression driven in eye by GMR-GAL4,RNAi of previously identified proteins with affinity for G4C2,PMC4800742,,,,,,,,,,,,,,,,,
43231,Rb97D,D. melanogaster,HNRNPA2B1,3181,,(G4C2)30 expression driven in eye by GMR-GAL4,RNAi of previously identified proteins with affinity for G4C2,PMC4800742,,,,,,,,,,,,,,,,,
43333,CG12877,D. melanogaster,REXO1,57455,,(G4C2)30 expression driven in eye by GMR-GAL4,RNAi of previously identified proteins with affinity for G4C2,PMC4800742,,,,,,,,,,,,,,,,,
43385,Hrb98DE,D. melanogaster,HNRNPA2B1,3181,,(G4C2)30 expression driven in eye by GMR-GAL4,RNAi of previously identified proteins with affinity for G4C2,PMC4800742,,,,,,,,,,,,,,,,,
43669,5-HT7,D. melanogaster,HTR7,3363,,(G4C2)30 expression driven in eye by GMR-GAL4,RNAi of previously identified proteins with affinity for G4C2,PMC4800742,,,,,,,,,,,,,,,,,
43764,mod,D. melanogaster,NCL,4691,,(G4C2)30 expression driven in eye by GMR-GAL4,RNAi of previously identified proteins with affinity for G4C2,PMC4800742,,,,,,,,,,,,,,,,,
43777,CG31999,D. melanogaster,FBLN1,2192,,(G4C2)30 expression driven in eye by GMR-GAL4,RNAi of previously identified proteins with affinity for G4C2,PMC4800742,,,,,,,,,,,,,,,,,
43783,Syt7,D. melanogaster,SYT7,9066,,(G4C2)30 expression driven in eye by GMR-GAL4,RNAi of previously identified proteins with affinity for G4C2,PMC4800742,,,,,,,,,,,,,,,,,
43799,Ephrin,D. melanogaster,EFNB2,1948,,(G4C2)30 expression driven in eye by GMR-GAL4,RNAi of previously identified proteins with affinity for G4C2,PMC4800742,,,,,,,,,,,,,,,,,
43823,Arf102F,D. melanogaster,ARF4,378,,(G4C2)30 expression driven in eye by GMR-GAL4,RNAi of previously identified proteins with affinity for G4C2,PMC4800742,,,,,,,,,,,,,,,,,
43844,Sox102F,D. melanogaster,SOX5,6660,,(G4C2)30 expression driven in eye by GMR-GAL4,RNAi of previously identified proteins with affinity for G4C2,PMC4800742,,,,,,,,,,,,,,,,,
43924,jim,D. melanogaster,ZXDA,7789,"ZNF343 (79175), ZNF133 (7692)",(G4C2)30 expression driven in eye by GMR-GAL4,RNAi of previously identified proteins with affinity for G4C2,PMC4800742,,,,,,,,,,,,,,,,,
44010,Pgm,D. melanogaster,PGM1,5236,,(G4C2)30 expression driven in eye by GMR-GAL4,RNAi of previously identified proteins with affinity for G4C2,PMC4800742,,,,,,,,,,,,,,,,,
44748,NiPp1,D. melanogaster,PPP1R8,5511,,(G4C2)30 expression driven in eye by GMR-GAL4,RNAi of previously identified proteins with affinity for G4C2,PMC4800742,,,,,,,,,,,,,,,,,
44801,bsk,D. melanogaster,MAPK8,5599,,(G4C2)30 expression driven in eye by GMR-GAL4,RNAi of previously identified proteins with affinity for G4C2,PMC4800742,,,,,,,,,,,,,,,,,
45320,trol,D. melanogaster,HSPG2,3339,,(G4C2)30 expression driven in eye by GMR-GAL4,RNAi of previously identified proteins with affinity for G4C2,PMC4800742,,,,,,,,,,,,,,,,,
45894,lds,D. melanogaster,TTF2,8458,,(G4C2)30 expression driven in eye by GMR-GAL4,RNAi of previously identified proteins with affinity for G4C2,PMC4800742,,,,,,,,,,,,,,,,,
46085,MFS14,D. melanogaster,SLC17A5,26503,,(G4C2)30 expression driven in eye by GMR-GAL4,RNAi of previously identified proteins with affinity for G4C2,PMC4800742,,,,,,,,,,,,,,,,,
48535,Hrb87F,D. melanogaster,HNRNPA2B1,3181,,(G4C2)30 expression driven in eye by GMR-GAL4,RNAi of previously identified proteins with affinity for G4C2,PMC4800742,,,,,,,,,,,,,,,,,
48571,heph,D. melanogaster,PTBP1,5725,,(G4C2)30 expression driven in eye by GMR-GAL4,RNAi of previously identified proteins with affinity for G4C2,PMC4800742,,,,,,,,,,,,,,,,,
48844,l(2)tid,D. melanogaster,DNAJA3,9093,HNRNPA2B1 (3181),(G4C2)30 expression driven in eye by GMR-GAL4,RNAi of previously identified proteins with affinity for G4C2,PMC4800742,,,,,,,,,,,,,,,,,
53556,dbo,D. melanogaster,KLHL20,27252,,(G4C2)30 expression driven in eye by GMR-GAL4,RNAi of previously identified proteins with affinity for G4C2,PMC4800742,,,,,,,,,,,,,,,,,
3346167,btsz,D. melanogaster,SYTL4,94121,,(G4C2)30 expression driven in eye by GMR-GAL4,RNAi of previously identified proteins with affinity for G4C2,PMC4800742,,,,,,,,,,,,,,,,,
3355109,Parp,D. melanogaster,PARP1,142,,(G4C2)30 expression driven in eye by GMR-GAL4,RNAi of previously identified proteins with affinity for G4C2,PMC4800742,,,,,,,,,,,,,,,,,
3355123,CG40006,D. melanogaster,SCARB1,949,,(G4C2)30 expression driven in eye by GMR-GAL4,RNAi of previously identified proteins with affinity for G4C2,PMC4800742,,,,,,,,,,,,,,,,,
3885647,Mitf,D. melanogaster,MITF,4286,,(G4C2)30 expression driven in eye by GMR-GAL4,RNAi of previously identified proteins with affinity for G4C2,PMC4800742,,,,,,,,,,,,,,,,,
