"","category","term","ontology"
"GO:0031083","GO:0031083","BLOC-1 complex","CC"
"GO:0033353","GO:0033353","S-adenosylmethionine cycle","BP"
"GO:0019898","GO:0019898","extrinsic component of membrane","CC"
"GO:0000974","GO:0000974","Prp19 complex","CC"
"GO:0007593","GO:0007593","chitin-based cuticle sclerotization","BP"
"GO:0004067","GO:0004067","asparaginase activity","MF"
"GO:0007041","GO:0007041","lysosomal transport","BP"
"GO:0030620","GO:0030620","U2 snRNA binding","MF"
"GO:0007448","GO:0007448","anterior/posterior pattern specification, imaginal disc","BP"
"GO:0005044","GO:0005044","scavenger receptor activity","MF"
"GO:0006154","GO:0006154","adenosine catabolic process","BP"
"GO:0046085","GO:0046085","adenosine metabolic process","BP"
"GO:0006816","GO:0006816","calcium ion transport","BP"
"GO:0009953","GO:0009953","dorsal/ventral pattern formation","BP"
"GO:2000145","GO:2000145","regulation of cell motility","BP"
"GO:0030335","GO:0030335","positive regulation of cell migration","BP"
"GO:0005952","GO:0005952","cAMP-dependent protein kinase complex","CC"
"GO:0042219","GO:0042219","cellular modified amino acid catabolic process","BP"
"GO:1901605","GO:1901605","alpha-amino acid metabolic process","BP"
"GO:0140492","GO:0140492","metal-dependent deubiquitinase activity","MF"
"GO:0060078","GO:0060078","regulation of postsynaptic membrane potential","BP"
"GO:0048843","GO:0048843","negative regulation of axon extension involved in axon guidance","BP"
"GO:0033238","GO:0033238","regulation of amine metabolic process","BP"
"GO:0031509","GO:0031509","subtelomeric heterochromatin formation","BP"
"GO:0030509","GO:0030509","BMP signaling pathway","BP"
"GO:0071772","GO:0071772","response to BMP","BP"
"GO:0071773","GO:0071773","cellular response to BMP stimulus","BP"
"GO:0002165","GO:0002165","instar larval or pupal development","BP"
"GO:0048639","GO:0048639","positive regulation of developmental growth","BP"
"GO:0009891","GO:0009891","positive regulation of biosynthetic process","BP"
"GO:0140672","GO:0140672","ATAC complex","CC"
"GO:0035335","GO:0035335","peptidyl-tyrosine dephosphorylation","BP"
"GO:0032588","GO:0032588","trans-Golgi network membrane","CC"
"GO:1903036","GO:1903036","positive regulation of response to wounding","BP"
"GO:0032561","GO:0032561","guanyl ribonucleotide binding","MF"
"GO:0007474","GO:0007474","imaginal disc-derived wing vein specification","BP"
"GO:0014074","GO:0014074","response to purine-containing compound","BP"
"GO:0004721","GO:0004721","phosphoprotein phosphatase activity","MF"
"GO:0060252","GO:0060252","positive regulation of glial cell proliferation","BP"
"GO:0006901","GO:0006901","vesicle coating","BP"
"GO:0048199","GO:0048199","vesicle targeting, to, from or within Golgi","BP"
"GO:0016318","GO:0016318","ommatidial rotation","BP"
"GO:1901474","GO:1901474","azole transmembrane transporter activity","MF"
"GO:0005539","GO:0005539","glycosaminoglycan binding","MF"
"GO:0006874","GO:0006874","intracellular calcium ion homeostasis","BP"
"GO:0097104","GO:0097104","postsynaptic membrane assembly","BP"
"GO:0031201","GO:0031201","SNARE complex","CC"
"GO:0042445","GO:0042445","hormone metabolic process","BP"
"GO:0002775","GO:0002775","antimicrobial peptide production","BP"
"GO:0002784","GO:0002784","regulation of antimicrobial peptide production","BP"
"GO:1901682","GO:1901682","sulfur compound transmembrane transporter activity","MF"
"GO:0006188","GO:0006188","IMP biosynthetic process","BP"
"GO:0080025","GO:0080025","phosphatidylinositol-3,5-bisphosphate binding","MF"
"GO:0042981","GO:0042981","regulation of apoptotic process","BP"
"GO:0009589","GO:0009589","detection of UV","BP"
"GO:0016360","GO:0016360","sensory organ precursor cell fate determination","BP"
"GO:0060582","GO:0060582","cell fate determination involved in pattern specification","BP"
"GO:0048066","GO:0048066","developmental pigmentation","BP"
"GO:0035032","GO:0035032","phosphatidylinositol 3-kinase complex, class III","CC"
"GO:0051568","GO:0051568","histone H3-K4 methylation","BP"
"GO:0099501","GO:0099501","exocytic vesicle membrane","CC"
"GO:0034394","GO:0034394","protein localization to cell surface","BP"
"GO:0045177","GO:0045177","apical part of cell","CC"
"GO:1990752","GO:1990752","microtubule end","CC"
"GO:0031279","GO:0031279","regulation of cyclase activity","BP"
"GO:0045761","GO:0045761","regulation of adenylate cyclase activity","BP"
"GO:0051339","GO:0051339","regulation of lyase activity","BP"
"GO:0048383","GO:0048383","mesectoderm development","BP"
"GO:0007630","GO:0007630","jump response","BP"
"GO:0071243","GO:0071243","cellular response to arsenic-containing substance","BP"
"GO:0046928","GO:0046928","regulation of neurotransmitter secretion","BP"
"GO:0051588","GO:0051588","regulation of neurotransmitter transport","BP"
"GO:0035094","GO:0035094","response to nicotine","BP"
"GO:0004497","GO:0004497","monooxygenase activity","MF"
"GO:0007111","GO:0007111","meiosis II cytokinesis","BP"
"GO:0017080","GO:0017080","sodium channel regulator activity","MF"
"GO:0006984","GO:0006984","ER-nucleus signaling pathway","BP"
"GO:0051010","GO:0051010","microtubule plus-end binding","MF"
"GO:0010506","GO:0010506","regulation of autophagy","BP"
"GO:0005310","GO:0005310","dicarboxylic acid transmembrane transporter activity","MF"
"GO:0000159","GO:0000159","protein phosphatase type 2A complex","CC"
"GO:0016530","GO:0016530","metallochaperone activity","MF"
"GO:0003755","GO:0003755","peptidyl-prolyl cis-trans isomerase activity","MF"
"GO:0046957","GO:0046957","negative phototaxis","BP"
"GO:0052129","GO:0052129","negative energy taxis","BP"
"GO:0008365","GO:0008365","adult chitin-based cuticle development","BP"
"GO:0031010","GO:0031010","ISWI-type complex","CC"
"GO:0045921","GO:0045921","positive regulation of exocytosis","BP"
"GO:0006446","GO:0006446","regulation of translational initiation","BP"
"GO:0018108","GO:0018108","peptidyl-tyrosine phosphorylation","BP"
"GO:0030952","GO:0030952","establishment or maintenance of cytoskeleton polarity","BP"
"GO:0007053","GO:0007053","spindle assembly involved in male meiosis","BP"
"GO:0045176","GO:0045176","apical protein localization","BP"
"GO:0008028","GO:0008028","monocarboxylic acid transmembrane transporter activity","MF"
"GO:0031589","GO:0031589","cell-substrate adhesion","BP"
"GO:0009799","GO:0009799","specification of symmetry","BP"
"GO:0009855","GO:0009855","determination of bilateral symmetry","BP"
"GO:1900426","GO:1900426","positive regulation of defense response to bacterium","BP"
"GO:0048027","GO:0048027","mRNA 5'-UTR binding","MF"
"GO:0007378","GO:0007378","amnioserosa formation","BP"
"GO:0150105","GO:0150105","protein localization to cell-cell junction","BP"
"GO:0007299","GO:0007299","follicle cell of egg chamber-cell adhesion","BP"
"GO:0009881","GO:0009881","photoreceptor activity","MF"
"GO:0043434","GO:0043434","response to peptide hormone","BP"
"GO:1901652","GO:1901652","response to peptide","BP"
"GO:0051058","GO:0051058","negative regulation of small GTPase mediated signal transduction","BP"
"GO:0005863","GO:0005863","striated muscle myosin thick filament","CC"
"GO:0007369","GO:0007369","gastrulation","BP"
"GO:0031055","GO:0031055","chromatin remodeling at centromere","BP"
"GO:0034080","GO:0034080","CENP-A containing chromatin assembly","BP"
"GO:0098659","GO:0098659","inorganic cation import across plasma membrane","BP"
"GO:0099587","GO:0099587","inorganic ion import across plasma membrane","BP"
"GO:1905354","GO:1905354","exoribonuclease complex","CC"
"GO:0061060","GO:0061060","negative regulation of peptidoglycan recognition protein signaling pathway","BP"
"GO:0009620","GO:0009620","response to fungus","BP"
"GO:0042133","GO:0042133","neurotransmitter metabolic process","BP"
"GO:0005518","GO:0005518","collagen binding","MF"
"GO:0010824","GO:0010824","regulation of centrosome duplication","BP"
"GO:0046605","GO:0046605","regulation of centrosome cycle","BP"
"GO:0097035","GO:0097035","regulation of membrane lipid distribution","BP"
"GO:0035459","GO:0035459","vesicle cargo loading","BP"
"GO:0061844","GO:0061844","antimicrobial humoral immune response mediated by antimicrobial peptide","BP"
"GO:0046348","GO:0046348","amino sugar catabolic process","BP"
"GO:1901072","GO:1901072","glucosamine-containing compound catabolic process","BP"
"GO:0000413","GO:0000413","protein peptidyl-prolyl isomerization","BP"
"GO:0050771","GO:0050771","negative regulation of axonogenesis","BP"
"GO:0140326","GO:0140326","ATPase-coupled intramembrane lipid transporter activity","MF"
"GO:0045504","GO:0045504","dynein heavy chain binding","MF"
"GO:0002164","GO:0002164","larval development","BP"
"GO:0051282","GO:0051282","regulation of sequestering of calcium ion","BP"
"GO:0007319","GO:0007319","negative regulation of oskar mRNA translation","BP"
"GO:0021953","GO:0021953","central nervous system neuron differentiation","BP"
"GO:0021954","GO:0021954","central nervous system neuron development","BP"
"GO:0048865","GO:0048865","stem cell fate commitment","BP"
"GO:0035277","GO:0035277","spiracle morphogenesis, open tracheal system","BP"
"GO:0043703","GO:0043703","photoreceptor cell fate determination","BP"
"GO:0016790","GO:0016790","thiolester hydrolase activity","MF"
"GO:0005543","GO:0005543","phospholipid binding","MF"
"GO:0061351","GO:0061351","neural precursor cell proliferation","BP"
"GO:0036122","GO:0036122","BMP binding","MF"
"GO:0043984","GO:0043984","histone H4-K16 acetylation","BP"
"GO:0007033","GO:0007033","vacuole organization","BP"
"GO:0042364","GO:0042364","water-soluble vitamin biosynthetic process","BP"
"GO:0061099","GO:0061099","negative regulation of protein tyrosine kinase activity","BP"
"GO:0051099","GO:0051099","positive regulation of binding","BP"
"GO:0046189","GO:0046189","phenol-containing compound biosynthetic process","BP"
"GO:0004143","GO:0004143","ATP-dependent diacylglycerol kinase activity","MF"
"GO:2000647","GO:2000647","negative regulation of stem cell proliferation","BP"
"GO:0042834","GO:0042834","peptidoglycan binding","MF"
"GO:0035220","GO:0035220","wing disc development","BP"
"GO:0051168","GO:0051168","nuclear export","BP"
"GO:0004726","GO:0004726","non-membrane spanning protein tyrosine phosphatase activity","MF"
"GO:0018455","GO:0018455","alcohol dehydrogenase [NAD(P)+] activity","MF"
"GO:0051402","GO:0051402","neuron apoptotic process","BP"
"GO:0005764","GO:0005764","lysosome","CC"
"GO:0000303","GO:0000303","response to superoxide","BP"
"GO:0000305","GO:0000305","response to oxygen radical","BP"
"GO:0019430","GO:0019430","removal of superoxide radicals","BP"
"GO:0071450","GO:0071450","cellular response to oxygen radical","BP"
"GO:0071451","GO:0071451","cellular response to superoxide","BP"
"GO:0015116","GO:0015116","sulfate transmembrane transporter activity","MF"
"GO:0045924","GO:0045924","regulation of female receptivity","BP"
"GO:0002787","GO:0002787","negative regulation of antibacterial peptide production","BP"
"GO:0002806","GO:0002806","negative regulation of antimicrobial peptide biosynthetic process","BP"
"GO:0002809","GO:0002809","negative regulation of antibacterial peptide biosynthetic process","BP"
"GO:0005884","GO:0005884","actin filament","CC"
"GO:0032456","GO:0032456","endocytic recycling","BP"
"GO:0015850","GO:0015850","organic hydroxy compound transport","BP"
"GO:0150008","GO:0150008","bulk synaptic vesicle endocytosis","BP"
"GO:0002440","GO:0002440","production of molecular mediator of immune response","BP"
"GO:0002700","GO:0002700","regulation of production of molecular mediator of immune response","BP"
"GO:0019212","GO:0019212","phosphatase inhibitor activity","MF"
"GO:0061665","GO:0061665","SUMO ligase activity","MF"
"GO:0042676","GO:0042676","compound eye cone cell fate commitment","BP"
"GO:0005786","GO:0005786","signal recognition particle, endoplasmic reticulum targeting","CC"
"GO:0048500","GO:0048500","signal recognition particle","CC"
"GO:0070613","GO:0070613","regulation of protein processing","BP"
"GO:0009581","GO:0009581","detection of external stimulus","BP"
"GO:0009582","GO:0009582","detection of abiotic stimulus","BP"
"GO:0001667","GO:0001667","ameboidal-type cell migration","BP"
"GO:0055116","GO:0055116","entry into reproductive diapause","BP"
"GO:0061963","GO:0061963","regulation of entry into reproductive diapause","BP"
"GO:0000045","GO:0000045","autophagosome assembly","BP"
"GO:0007428","GO:0007428","primary branching, open tracheal system","BP"
"GO:0072657","GO:0072657","protein localization to membrane","BP"
"GO:1900368","GO:1900368","regulation of post-transcriptional gene silencing by regulatory ncRNA","BP"
"GO:0046008","GO:0046008","regulation of female receptivity, post-mating","BP"
"GO:0007023","GO:0007023","post-chaperonin tubulin folding pathway","BP"
"GO:0006970","GO:0006970","response to osmotic stress","BP"
"GO:0010817","GO:0010817","regulation of hormone levels","BP"
"GO:0002759","GO:0002759","regulation of antimicrobial humoral response","BP"
"GO:0008198","GO:0008198","ferrous iron binding","MF"
"GO:0035161","GO:0035161","imaginal disc lineage restriction","BP"
"GO:0035268","GO:0035268","protein mannosylation","BP"
"GO:0097502","GO:0097502","mannosylation","BP"
"GO:0001578","GO:0001578","microtubule bundle formation","BP"
"GO:0048800","GO:0048800","antennal morphogenesis","BP"
"GO:0009991","GO:0009991","response to extracellular stimulus","BP"
"GO:0000149","GO:0000149","SNARE binding","MF"
"GO:0016081","GO:0016081","synaptic vesicle docking","BP"
"GO:0007275","GO:0007275","multicellular organism development","BP"
"GO:0004114","GO:0004114","3',5'-cyclic-nucleotide phosphodiesterase activity","MF"
"GO:1901698","GO:1901698","response to nitrogen compound","BP"
"GO:0005911","GO:0005911","cell-cell junction","CC"
"GO:0043547","GO:0043547","positive regulation of GTPase activity","BP"
"GO:0005929","GO:0005929","cilium","CC"
"GO:0030545","GO:0030545","signaling receptor regulator activity","MF"
"GO:0046665","GO:0046665","amnioserosa maintenance","BP"
"GO:0007478","GO:0007478","leg disc morphogenesis","BP"
"GO:0061327","GO:0061327","anterior Malpighian tubule development","BP"
"GO:1902414","GO:1902414","protein localization to cell junction","BP"
"GO:0030159","GO:0030159","signaling receptor complex adaptor activity","MF"
"GO:0000055","GO:0000055","ribosomal large subunit export from nucleus","BP"
"GO:0008589","GO:0008589","regulation of smoothened signaling pathway","BP"
"GO:0046622","GO:0046622","positive regulation of organ growth","BP"
"GO:0050905","GO:0050905","neuromuscular process","BP"
"GO:0019722","GO:0019722","calcium-mediated signaling","BP"
"GO:0071855","GO:0071855","neuropeptide receptor binding","MF"
"GO:0071029","GO:0071029","nuclear ncRNA surveillance","BP"
"GO:0071046","GO:0071046","nuclear polyadenylation-dependent ncRNA catabolic process","BP"
"GO:0002028","GO:0002028","regulation of sodium ion transport","BP"
"GO:0055088","GO:0055088","lipid homeostasis","BP"
"GO:0008585","GO:0008585","female gonad development","BP"
"GO:0046545","GO:0046545","development of primary female sexual characteristics","BP"
"GO:2000147","GO:2000147","positive regulation of cell motility","BP"
"GO:0007400","GO:0007400","neuroblast fate determination","BP"
"GO:0071782","GO:0071782","endoplasmic reticulum tubular network","CC"
"GO:0015740","GO:0015740","C4-dicarboxylate transport","BP"
"GO:0015030","GO:0015030","Cajal body","CC"
"GO:0034661","GO:0034661","ncRNA catabolic process","BP"
"GO:0006026","GO:0006026","aminoglycan catabolic process","BP"
"GO:0099522","GO:0099522","cytosolic region","CC"
"GO:0060033","GO:0060033","anatomical structure regression","BP"
"GO:0007169","GO:0007169","transmembrane receptor protein tyrosine kinase signaling pathway","BP"
"GO:0019388","GO:0019388","galactose catabolic process","BP"
"GO:0033499","GO:0033499","galactose catabolic process via UDP-galactose","BP"
"GO:0050145","GO:0050145","nucleoside monophosphate kinase activity","MF"
"GO:0051643","GO:0051643","endoplasmic reticulum localization","BP"
"GO:0009408","GO:0009408","response to heat","BP"
"GO:0005865","GO:0005865","striated muscle thin filament","CC"
"GO:0050768","GO:0050768","negative regulation of neurogenesis","BP"
"GO:0008348","GO:0008348","negative regulation of antimicrobial humoral response","BP"
"GO:0030135","GO:0030135","coated vesicle","CC"
"GO:0040014","GO:0040014","regulation of multicellular organism growth","BP"
"GO:0045180","GO:0045180","basal cortex","CC"
"GO:0090571","GO:0090571","RNA polymerase II transcription repressor complex","CC"
"GO:0009410","GO:0009410","response to xenobiotic stimulus","BP"
"GO:0016702","GO:0016702","oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen","MF"
"GO:0005201","GO:0005201","extracellular matrix structural constituent","MF"
"GO:0007218","GO:0007218","neuropeptide signaling pathway","BP"
"GO:0070567","GO:0070567","cytidylyltransferase activity","MF"
"GO:0001558","GO:0001558","regulation of cell growth","BP"
"GO:0002697","GO:0002697","regulation of immune effector process","BP"
"GO:0017046","GO:0017046","peptide hormone binding","MF"
"GO:0006558","GO:0006558","L-phenylalanine metabolic process","BP"
"GO:0006559","GO:0006559","L-phenylalanine catabolic process","BP"
"GO:1902221","GO:1902221","erythrose 4-phosphate/phosphoenolpyruvate family amino acid metabolic process","BP"
"GO:1902222","GO:1902222","erythrose 4-phosphate/phosphoenolpyruvate family amino acid catabolic process","BP"
"GO:0036379","GO:0036379","myofilament","CC"
"GO:0006171","GO:0006171","cAMP biosynthetic process","BP"
"GO:0022400","GO:0022400","regulation of rhodopsin mediated signaling pathway","BP"
"GO:0035206","GO:0035206","regulation of hemocyte proliferation","BP"
"GO:0040036","GO:0040036","regulation of fibroblast growth factor receptor signaling pathway","BP"
"GO:0019829","GO:0019829","ATPase-coupled monoatomic cation transmembrane transporter activity","MF"
"GO:0070131","GO:0070131","positive regulation of mitochondrial translation","BP"
"GO:1903818","GO:1903818","positive regulation of voltage-gated potassium channel activity","BP"
"GO:0044331","GO:0044331","cell-cell adhesion mediated by cadherin","BP"
"GO:0030681","GO:0030681","multimeric ribonuclease P complex","CC"
"GO:0033204","GO:0033204","ribonuclease P RNA binding","MF"
"GO:0000244","GO:0000244","spliceosomal tri-snRNP complex assembly","BP"
"GO:0045317","GO:0045317","equator specification","BP"
"GO:0038001","GO:0038001","paracrine signaling","BP"
"GO:0000395","GO:0000395","mRNA 5'-splice site recognition","BP"
"GO:0035145","GO:0035145","exon-exon junction complex","CC"
"GO:0042982","GO:0042982","amyloid precursor protein metabolic process","BP"
"GO:0036260","GO:0036260","RNA capping","BP"
"GO:0019079","GO:0019079","viral genome replication","BP"
"GO:0090207","GO:0090207","regulation of triglyceride metabolic process","BP"
"GO:0030036","GO:0030036","actin cytoskeleton organization","BP"
"GO:0003352","GO:0003352","regulation of cilium movement","BP"
"GO:0003727","GO:0003727","single-stranded RNA binding","MF"
"GO:0045167","GO:0045167","asymmetric protein localization involved in cell fate determination","BP"
"GO:0035176","GO:0035176","social behavior","BP"
"GO:0051703","GO:0051703","biological process involved in intraspecies interaction between organisms","BP"
"GO:0097153","GO:0097153","cysteine-type endopeptidase activity involved in apoptotic process","MF"
"GO:0044754","GO:0044754","autolysosome","CC"
"GO:0035212","GO:0035212","cell competition in a multicellular organism","BP"
"GO:0009725","GO:0009725","response to hormone","BP"
"GO:0016192","GO:0016192","vesicle-mediated transport","BP"
"GO:0006817","GO:0006817","phosphate ion transport","BP"
"GO:0070988","GO:0070988","demethylation","BP"
"GO:0007560","GO:0007560","imaginal disc morphogenesis","BP"
"GO:0048563","GO:0048563","post-embryonic animal organ morphogenesis","BP"
"GO:0048678","GO:0048678","response to axon injury","BP"
"GO:0032435","GO:0032435","negative regulation of proteasomal ubiquitin-dependent protein catabolic process","BP"
"GO:1901799","GO:1901799","negative regulation of proteasomal protein catabolic process","BP"
"GO:1902652","GO:1902652","secondary alcohol metabolic process","BP"
"GO:0036465","GO:0036465","synaptic vesicle recycling","BP"
"GO:0005549","GO:0005549","odorant binding","MF"
"GO:0005975","GO:0005975","carbohydrate metabolic process","BP"
"GO:0004197","GO:0004197","cysteine-type endopeptidase activity","MF"
"GO:0006941","GO:0006941","striated muscle contraction","BP"
"GO:0015936","GO:0015936","coenzyme A metabolic process","BP"
"GO:0008188","GO:0008188","neuropeptide receptor activity","MF"
"GO:0046102","GO:0046102","inosine metabolic process","BP"
"GO:0046103","GO:0046103","inosine biosynthetic process","BP"
"GO:0050922","GO:0050922","negative regulation of chemotaxis","BP"
"GO:0008499","GO:0008499","UDP-galactose:beta-N-acetylglucosamine beta-1,3-galactosyltransferase activity","MF"
"GO:0007212","GO:0007212","dopamine receptor signaling pathway","BP"
"GO:0003774","GO:0003774","cytoskeletal motor activity","MF"
"GO:0071203","GO:0071203","WASH complex","CC"
"GO:0000470","GO:0000470","maturation of LSU-rRNA","BP"
"GO:0001731","GO:0001731","formation of translation preinitiation complex","BP"
"GO:0007635","GO:0007635","chemosensory behavior","BP"
"GO:0000972","GO:0000972","transcription-dependent tethering of RNA polymerase II gene DNA at nuclear periphery","BP"
"GO:0071324","GO:0071324","cellular response to disaccharide stimulus","BP"
"GO:0071329","GO:0071329","cellular response to sucrose stimulus","BP"
"GO:0008630","GO:0008630","intrinsic apoptotic signaling pathway in response to DNA damage","BP"
"GO:0019211","GO:0019211","phosphatase activator activity","MF"
"GO:0072542","GO:0072542","protein phosphatase activator activity","MF"
"GO:0001109","GO:0001109","promoter clearance during DNA-templated transcription","BP"
"GO:0001111","GO:0001111","RNA polymerase II promoter clearance","BP"
"GO:0008016","GO:0008016","regulation of heart contraction","BP"
"GO:1903522","GO:1903522","regulation of blood circulation","BP"
"GO:0016236","GO:0016236","macroautophagy","BP"
"GO:0031968","GO:0031968","organelle outer membrane","CC"
"GO:0051055","GO:0051055","negative regulation of lipid biosynthetic process","BP"
"GO:0001727","GO:0001727","lipid kinase activity","MF"
"GO:0007158","GO:0007158","neuron cell-cell adhesion","BP"
"GO:0012510","GO:0012510","trans-Golgi network transport vesicle membrane","CC"
"GO:0030130","GO:0030130","clathrin coat of trans-Golgi network vesicle","CC"
"GO:0000460","GO:0000460","maturation of 5.8S rRNA","BP"
"GO:0005955","GO:0005955","calcineurin complex","CC"
"GO:0051865","GO:0051865","protein autoubiquitination","BP"
"GO:0120111","GO:0120111","neuron projection cytoplasm","CC"
"GO:0051287","GO:0051287","NAD binding","MF"
"GO:0034244","GO:0034244","negative regulation of transcription elongation by RNA polymerase II","BP"
"GO:0007632","GO:0007632","visual behavior","BP"
"GO:0106027","GO:0106027","neuron projection organization","BP"
"GO:0048644","GO:0048644","muscle organ morphogenesis","BP"
"GO:0009404","GO:0009404","toxin metabolic process","BP"
"GO:0017143","GO:0017143","insecticide metabolic process","BP"
"GO:0045824","GO:0045824","negative regulation of innate immune response","BP"
"GO:0071417","GO:0071417","cellular response to organonitrogen compound","BP"
"GO:0031667","GO:0031667","response to nutrient levels","BP"
"GO:0043243","GO:0043243","positive regulation of protein-containing complex disassembly","BP"
"GO:0072341","GO:0072341","modified amino acid binding","MF"
"GO:0046685","GO:0046685","response to arsenic-containing substance","BP"
"GO:0014015","GO:0014015","positive regulation of gliogenesis","BP"
"GO:0005920","GO:0005920","smooth septate junction","CC"
"GO:0005092","GO:0005092","GDP-dissociation inhibitor activity","MF"
"GO:1900150","GO:1900150","regulation of defense response to fungus","BP"
"GO:0045434","GO:0045434","negative regulation of female receptivity, post-mating","BP"
"GO:0034058","GO:0034058","endosomal vesicle fusion","BP"
"GO:0097105","GO:0097105","presynaptic membrane assembly","BP"
"GO:0018990","GO:0018990","ecdysis, chitin-based cuticle","BP"
"GO:0090303","GO:0090303","positive regulation of wound healing","BP"
"GO:0007029","GO:0007029","endoplasmic reticulum organization","BP"
"GO:0060251","GO:0060251","regulation of glial cell proliferation","BP"
"GO:0006465","GO:0006465","signal peptide processing","BP"
"GO:0046425","GO:0046425","regulation of receptor signaling pathway via JAK-STAT","BP"
"GO:1904892","GO:1904892","regulation of receptor signaling pathway via STAT","BP"
"GO:0048332","GO:0048332","mesoderm morphogenesis","BP"
"GO:0099103","GO:0099103","channel activator activity","MF"
"GO:0099104","GO:0099104","potassium channel activator activity","MF"
"GO:1990709","GO:1990709","presynaptic active zone organization","BP"
"GO:0099068","GO:0099068","postsynapse assembly","BP"
"GO:0016814","GO:0016814","hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in cyclic amidines","MF"
"GO:2000648","GO:2000648","positive regulation of stem cell proliferation","BP"
"GO:0072332","GO:0072332","intrinsic apoptotic signaling pathway by p53 class mediator","BP"
"GO:0007163","GO:0007163","establishment or maintenance of cell polarity","BP"
"GO:0031208","GO:0031208","POZ domain binding","MF"
"GO:0007516","GO:0007516","hemocyte development","BP"
"GO:0098693","GO:0098693","regulation of synaptic vesicle cycle","BP"
"GO:0006697","GO:0006697","ecdysone biosynthetic process","BP"
"GO:0007178","GO:0007178","transmembrane receptor protein serine/threonine kinase signaling pathway","BP"
"GO:0007486","GO:0007486","imaginal disc-derived female genitalia development","BP"
"GO:0141052","GO:0141052","histone H3 demethylase activity","MF"
"GO:0070050","GO:0070050","neuron cellular homeostasis","BP"
"GO:0016859","GO:0016859","cis-trans isomerase activity","MF"
"GO:0043649","GO:0043649","dicarboxylic acid catabolic process","BP"
"GO:0008283","GO:0008283","cell population proliferation","BP"
"GO:0071276","GO:0071276","cellular response to cadmium ion","BP"
"GO:0019395","GO:0019395","fatty acid oxidation","BP"
"GO:0007439","GO:0007439","ectodermal digestive tract development","BP"
"GO:0048567","GO:0048567","ectodermal digestive tract morphogenesis","BP"
"GO:0010970","GO:0010970","transport along microtubule","BP"
"GO:0009886","GO:0009886","post-embryonic animal morphogenesis","BP"
"GO:0005875","GO:0005875","microtubule associated complex","CC"
"GO:0005977","GO:0005977","glycogen metabolic process","BP"
"GO:0006112","GO:0006112","energy reserve metabolic process","BP"
"GO:0044042","GO:0044042","glucan metabolic process","BP"
"GO:0030522","GO:0030522","intracellular receptor signaling pathway","BP"
"GO:0045893","GO:0045893","positive regulation of DNA-templated transcription","BP"
"GO:1902680","GO:1902680","positive regulation of RNA biosynthetic process","BP"
"GO:0061138","GO:0061138","morphogenesis of a branching epithelium","BP"
"GO:0031340","GO:0031340","positive regulation of vesicle fusion","BP"
"GO:1902017","GO:1902017","regulation of cilium assembly","BP"
"GO:0022416","GO:0022416","chaeta development","BP"
"GO:0000315","GO:0000315","organellar large ribosomal subunit","CC"
"GO:0005762","GO:0005762","mitochondrial large ribosomal subunit","CC"
"GO:0061760","GO:0061760","antifungal innate immune response","BP"
"GO:0019838","GO:0019838","growth factor binding","MF"
"GO:0015114","GO:0015114","phosphate ion transmembrane transporter activity","MF"
"GO:0004690","GO:0004690","cyclic nucleotide-dependent protein kinase activity","MF"
"GO:0016051","GO:0016051","carbohydrate biosynthetic process","BP"
"GO:0050955","GO:0050955","thermoception","BP"
"GO:0050960","GO:0050960","detection of temperature stimulus involved in thermoception","BP"
"GO:0050840","GO:0050840","extracellular matrix binding","MF"
"GO:0016604","GO:0016604","nuclear body","CC"
"GO:0070273","GO:0070273","phosphatidylinositol-4-phosphate binding","MF"
"GO:0008305","GO:0008305","integrin complex","CC"
"GO:0098636","GO:0098636","protein complex involved in cell adhesion","CC"
"GO:0005246","GO:0005246","calcium channel regulator activity","MF"
"GO:0032838","GO:0032838","plasma membrane bounded cell projection cytoplasm","CC"
"GO:0120177","GO:0120177","negative regulation of torso signaling pathway","BP"
"GO:1900425","GO:1900425","negative regulation of defense response to bacterium","BP"
"GO:0050732","GO:0050732","negative regulation of peptidyl-tyrosine phosphorylation","BP"
"GO:0061097","GO:0061097","regulation of protein tyrosine kinase activity","BP"
"GO:0030544","GO:0030544","Hsp70 protein binding","MF"
"GO:0042461","GO:0042461","photoreceptor cell development","BP"
"GO:0060253","GO:0060253","negative regulation of glial cell proliferation","BP"
"GO:0045022","GO:0045022","early endosome to late endosome transport","BP"
"GO:0098927","GO:0098927","vesicle-mediated transport between endosomal compartments","BP"
"GO:0048707","GO:0048707","instar larval or pupal morphogenesis","BP"
"GO:0019933","GO:0019933","cAMP-mediated signaling","BP"
"GO:0050686","GO:0050686","negative regulation of mRNA processing","BP"
"GO:0045927","GO:0045927","positive regulation of growth","BP"
"GO:0060627","GO:0060627","regulation of vesicle-mediated transport","BP"
"GO:0008407","GO:0008407","chaeta morphogenesis","BP"
"GO:0005915","GO:0005915","zonula adherens","CC"
"GO:0030948","GO:0030948","negative regulation of vascular endothelial growth factor receptor signaling pathway","BP"
"GO:0061177","GO:0061177","type Is terminal bouton","CC"
"GO:0035150","GO:0035150","regulation of tube size","BP"
"GO:0035313","GO:0035313","wound healing, spreading of epidermal cells","BP"
"GO:0045677","GO:0045677","negative regulation of R7 cell differentiation","BP"
"GO:0002011","GO:0002011","morphogenesis of an epithelial sheet","BP"
