"","FBgn","Symbol","ensembl","CG","Start","End","Strand","CHR","Name"
"FBgn0052655","FBgn0052655","CG32655","318143","CG32655",12234561,12235877,-1,"X","318143"
"FBgn0052656","FBgn0052656","Muc11A","32174","CG32656",12059794,12065144,1,"X","32174"
"FBgn0052657","FBgn0052657","lncRNA:CR32657","3772397","CR32657",12087210,12087695,1,"X","3772397"
"FBgn0052666","FBgn0052666","Drak","32097","CG32666",11493134,11555045,1,"X","32097"
"FBgn0052668","FBgn0052668","CG32668","318147","CG32668",11156675,11159760,-1,"X","318147"
"FBgn0052669","FBgn0052669","CG32669","326229","CG32669",10842696,10845081,-1,"X","326229"
"FBgn0052670","FBgn0052670","Rab9Fb","32029","CG32670",10951608,10952486,-1,"X","32029"
"FBgn0052671","FBgn0052671","Rab9Fa","326230","CG32671",10950159,10951030,-1,"X","326230"
"FBgn0052672","FBgn0052672","Atg8a","32001","CG32672",10764877,10768338,-1,"X","32001"
"FBgn0052673","FBgn0052673","Rab9E","318148","CG32673",10660954,10661843,-1,"X","318148"
"FBgn0052675","FBgn0052675","Tango5","326232","CG32675",10760047,10764413,-1,"X","326232"
"FBgn0052676","FBgn0052676","stx","32005","CG32676",10711162,10744943,-1,"X","32005"
"FBgn0052677","FBgn0052677","X11Lbeta","31997","CG32677",10627736,10710947,1,"X","31997"
"FBgn0052681","FBgn0052681","CG32681","318151","CG32681",10376650,10381352,-1,"X","318151"
"FBgn0052683","FBgn0052683","CG32683","31970","CG32683",10410390,10454895,-1,"X","31970"
"FBgn0052685","FBgn0052685","ZAP3","31942","CG32685",10071857,10082492,-1,"X","31942"
"FBgn0052686","FBgn0052686","CG32686","318153","CG32686",10371716,10375316,-1,"X","318153"
"FBgn0052687","FBgn0052687","CG32687","31980","CG32687",10482027,10487205,-1,"X","31980"
"FBgn0052690","FBgn0052690","lncRNA:CR32690","10178944","CR32690",10204399,10205289,1,"X","10178944"
"FBgn0052694","FBgn0052694","CG32694","31933","CG32694",9989689,10006882,1,"X","31933"
"FBgn0052695","FBgn0052695","CG32695","31918","CG32695",9872381,9874057,-1,"X","31918"
"FBgn0052698","FBgn0052698","CARPB","31915","CG32698",9783222,9855449,1,"X","31915"
"FBgn0052699","FBgn0052699","LPCAT","31899","CG32699",9571536,9579987,-1,"X","31899"
"FBgn0052702","FBgn0052702","Cubn","326235","CG32702",9558664,9571308,-1,"X","326235"
"FBgn0052703","FBgn0052703","Erk7","31877","CG32703",9261375,9267698,-1,"X","31877"
"FBgn0052706","FBgn0052706","CG32706","318160","CG32706",9087128,9088073,1,"X","318160"
"FBgn0052707","FBgn0052707","APC4","31835","CG32707",9082930,9085867,1,"X","31835"
"FBgn0052708","FBgn0052708","CG32708","318161","CG32708",9085931,9086864,1,"X","318161"
"FBgn0052713","FBgn0052713","CG32713","318166","CG32713",8456836,8457632,-1,"X","318166"
"FBgn0052718","FBgn0052718","CG32718","318168","CG32718",7778204,7779370,1,"X","318168"
"FBgn0052719","FBgn0052719","CG32719","318169","CG32719",7508650,7547992,-1,"X","318169"
"FBgn0052720","FBgn0052720","CG32720","318170","CG32720",7535624,7536959,-1,"X","318170"
"FBgn0052726","FBgn0052726","CG32726","318175","CG32726",7425219,7425743,-1,"X","318175"
"FBgn0052732","FBgn0052732","Setd3","31638","CG32732",6958031,6968750,-1,"X","31638"
"FBgn0052745","FBgn0052745","CR32745","5740857","CR32745",NA,NA,NA,"5740857","5740857"
"FBgn0052750","FBgn0052750","CG32750","326238","CG32750",6194736,6196439,-1,"X","326238"
"FBgn0052751","FBgn0052751","CG32751","318189","CG32751",6196579,6198654,-1,"X","318189"
"FBgn0052755","FBgn0052755","CG32755","318192","CG32755",5950250,5951711,1,"X","318192"
"FBgn0052756","FBgn0052756","CG32756","318193","CG32756",5945681,5948353,1,"X","318193"
"FBgn0052758","FBgn0052758","Snx27","31493","CG32758",5719373,5738031,-1,"X","31493"
"FBgn0052762","FBgn0052762","CG32762","318198","CG32762",5500207,5501229,-1,"X","318198"
"FBgn0052767","FBgn0052767","CG32767","31430","CG32767",5071026,5084768,-1,"X","31430"
"FBgn0052772","FBgn0052772","CG32772","31420","CG32772",4909101,4915161,1,"X","31420"
"FBgn0052773","FBgn0052773","lncRNA:CR32773","19835374","CR32773",4387675,4611385,-1,"X","19835374"
"FBgn0052774","FBgn0052774","Muc4B","31368","CG32774",4244094,4246139,-1,"X","31368"
"FBgn0052783","FBgn0052783","Gem4c","318207","CG32783",3940846,3948460,1,"X","318207"
"FBgn0052786","FBgn0052786","Gem4b","318210","CG32786",3940846,3944265,1,"X","318210"
"FBgn0052791","FBgn0052791","DIP-alpha","31322","CG32791",3507244,3571649,-1,"X","31322"
"FBgn0052793","FBgn0052793","CG32793","31280","CG32793",2929795,2932626,1,"X","31280"
"FBgn0052797","FBgn0052797","CG32797","318215","CG32797",2424924,2425855,-1,"X","318215"
"FBgn0052803","FBgn0052803","CG32803","326240","CG32803",1900698,1901911,-1,"X","326240"
"FBgn0052806","FBgn0052806","CG32806","318220","CG32806",1789565,1790418,1,"X","318220"
"FBgn0052808","FBgn0052808","CG32808","318221","CG32808",1468692,1469817,-1,"X","318221"
"FBgn0052811","FBgn0052811","CG32811","318222","CG32811",1297983,1298387,-1,"X","318222"
"FBgn0052813","FBgn0052813","CG32813","31089","CG32813",1380913,1392843,1,"X","31089"
"FBgn0052815","FBgn0052815","CG32815","318224","CG32815",932465,939424,1,"X","318224"
"FBgn0052816","FBgn0052816","CG32816","318225","CG32816",316575,470726,-1,"X","318225"
"FBgn0052817","FBgn0052817","CG32817","318226","CG32817",479065,480166,1,"X","318226"
"FBgn0052829","FBgn0052829","CG32829","318235","CG32829",6915580,6916445,-1,"2L","318235"
"FBgn0052831","FBgn0052831","CG33695","3772186","CG33695",11278020,11279982,1,"2L","3772186"
"FBgn0052832","FBgn0052832","CG32832","318237","CG32832",16878325,16879290,-1,"2L","318237"
"FBgn0052835","FBgn0052835","lncRNA:CR32835","12798142","CR32835",22951147,22953800,-1,"2R","12798142"
"FBgn0052843","FBgn0052843","Dh31-R","36475","CG32843",13267797,13295927,-1,"2R","36475"
"FBgn0052845","FBgn0052845","CG32845","318243","CG32845",271419,273391,-1,"3L","318243"
"FBgn0052846","FBgn0052846","CG32846","318244","CG32846",2950173,2951618,-1,"3L","318244"
"FBgn0052847","FBgn0052847","CG32847","318245","CG32847",15121571,15122301,1,"3L","318245"
"FBgn0052850","FBgn0052850","CG32850","318246","CG32850",314922,331387,1,"4","318246"
"FBgn0052855","FBgn0052855","CG32855","318250","CG32855",16078979,16080992,-1,"3R","318250"
"FBgn0052856","FBgn0052856","CG32856","318251","CG32856",15964677,15965351,-1,"3R","318251"
"FBgn0052944","FBgn0052944","CG32944","40560","CG32944",4407226,4419578,-1,"3R","40560"
"FBgn0052945","FBgn0052945","CG32945","318261","CG32945",4577938,4578644,-1,"3R","318261"
"FBgn0052971","FBgn0052971","CG32971","318271","CG32971",14274820,14278002,1,"2L","318271"
"FBgn0052982","FBgn0052982","CG32982","34237","CG32982",9125736,9163721,1,"2L","34237"
"FBgn0053002","FBgn0053002","mRpL27","318825","CG33002",4458594,4459638,-1,"2L","318825"
"FBgn0053012","FBgn0053012","CG33012","36342","CG33012",12367352,12370886,1,"2R","36342"
"FBgn0053013","FBgn0053013","CR33013","14462581","CR33013",NA,NA,NA,"14462581","14462581"
"FBgn0053017","FBgn0053017","CG33017","36811","CG33017",16272113,16277655,1,"2R","36811"
"FBgn0053051","FBgn0053051","CG33051","39941","CG33051",17426285,17427130,-1,"3L","39941"
"FBgn0053052","FBgn0053052","Gorab","326245","CG33052",17427304,17428836,-1,"3L","326245"
"FBgn0053054","FBgn0053054","CG33054","40340","CG33054",21197410,21202882,-1,"3L","40340"
"FBgn0053056","FBgn0053056","CG33056","326246","CG33056",21198260,21203232,-1,"3L","326246"
"FBgn0053060","FBgn0053060","CG33060","39807","CG33060",16331039,16331767,1,"3L","39807"
"FBgn0053061","FBgn0053061","CG33061","318838","CG33061",16329794,16331227,1,"3L","318838"
"FBgn0053062","FBgn0053062","CG33062","318840","CG33062",19441718,19446444,-1,"3L","318840"
"FBgn0053080","FBgn0053080","CG33080","31491","CG33080",5708558,5717778,-1,"X","31491"
"FBgn0053082","FBgn0053082","Rpp21","318857","CG33082",1030757,1033119,1,"X","318857"
"FBgn0053087","FBgn0053087","LRP1","35799","CG33087",8174164,8226438,1,"2R","35799"
"FBgn0053093","FBgn0053093","CG33093","42654","CG33093",22530693,22531922,-1,"3R","42654"
"FBgn0053094","FBgn0053094","Synd","42467","CG33094",20832798,20840118,1,"3R","42467"
"FBgn0053096","FBgn0053096","CG33096","326251","CG33096",25097671,25102146,1,"3R","326251"
"FBgn0053098","FBgn0053098","CG33098","326253","CG33098",12387187,12388794,1,"3R","326253"
"FBgn0053099","FBgn0053099","CG33099","326254","CG33099",22528919,22530572,-1,"3R","326254"
"FBgn0053100","FBgn0053100","eIF4EHP","326255","CG33100",24063076,24108960,-1,"3R","326255"
"FBgn0053107","FBgn0053107","CG33107","326256","CG33107",22583351,22584718,-1,"3R","326256"
"FBgn0053108","FBgn0053108","CG33108","326257","CG33108",23995658,23997544,1,"3R","326257"
"FBgn0053110","FBgn0053110","CG33110","42659","CG33110",22570187,22580392,1,"3R","42659"
"FBgn0053111","FBgn0053111","CG33111","50068","CG33111",23801713,23819237,-1,"3R","50068"
"FBgn0053113","FBgn0053113","Rtnl1","33721","CG33113",4992807,5009720,-1,"2L","33721"
"FBgn0053116","FBgn0053116","CG33116","326259","CG33116",19533478,19537363,1,"2L","326259"
"FBgn0053117","FBgn0053117","Victoria","35275","CG33117",19912937,19913516,-1,"2L","35275"
"FBgn0053120","FBgn0053120","CG33120","326260","CG33120",18841399,18844579,-1,"2L","326260"
"FBgn0053124","FBgn0053124","CG33124","318891","CG33124",2206524,2209102,-1,"2L","318891"
"FBgn0053125","FBgn0053125","CG33125","318892","CG33125",2648359,2652414,-1,"2L","318892"
"FBgn0053126","FBgn0053126","NLaz","33324","CG33126",1359836,1361821,-1,"2L","33324"
"FBgn0053127","FBgn0053127","CG33127","318893","CG33127",322100,323091,1,"2L","318893"
"FBgn0053128","FBgn0053128","CG33128","326263","CG33128",1494069,1495456,1,"2L","326263"
"FBgn0053129","FBgn0053129","CG33129","34514","CG33129",10964904,10970275,-1,"2L","34514"
"FBgn0053136","FBgn0053136","CG33136","318894","CG33136",18664448,18665792,-1,"2R","318894"
"FBgn0053138","FBgn0053138","AGBE","326264","CG33138",13171400,13174796,1,"2R","326264"
"FBgn0053140","FBgn0053140","CG33140","35642","CG33140",7178389,7180730,1,"2R","35642"
"FBgn0053143","FBgn0053143","CG33143","37583","CG33143",22614327,22634084,1,"2R","37583"
"FBgn0053144","FBgn0053144","CG33144","36131","CG33144",10740053,10798709,-1,"2R","36131"
"FBgn0053145","FBgn0053145","GalT1","36279","CG33145",11980576,11982956,-1,"2R","36279"
"FBgn0053147","FBgn0053147","Hs3st-A","37161","CG33147",18718113,18754675,1,"2R","37161"
"FBgn0053156","FBgn0053156","CG33156","36507","CG33156",13548243,13553240,-1,"2R","36507"
"FBgn0053158","FBgn0053158","CG33158","39834","CG33158",16419596,16496560,1,"3L","39834"
"FBgn0053169","FBgn0053169","CG33169","40504","CG33169",22863863,22864496,1,"3L","40504"
"FBgn0053170","FBgn0053170","CG33170","326267","CG33170",22864599,22867535,1,"3L","326267"
"FBgn0053172","FBgn0053172","CG33172","32526","CG33172",15769663,15772985,1,"X","32526"
"FBgn0053177","FBgn0053177","CG33177","32438","CG33177",15081366,15082369,1,"X","32438"
"FBgn0053179","FBgn0053179","beat-IIIb","35031","CG33179",16973090,16993984,1,"2L","35031"
"FBgn0053180","FBgn0053180","Ranbp16","118436","CG33180",15927184,15933867,-1,"X","118436"
"FBgn0053181","FBgn0053181","CG33181","318916","CG33181",8489347,8517029,1,"X","318916"
"FBgn0053182","FBgn0053182","Kdm4B","318918","CG33182",13176552,13198337,-1,"2R","318918"
"FBgn0053189","FBgn0053189","CG33189","326328","CG33189",8780112,8780789,-1,"3R","326328"
"FBgn0053191","FBgn0053191","CG33191","251270","CG33191",8778378,8779923,-1,"3R","251270"
"FBgn0053192","FBgn0053192","MtnD","326270","CG33192",20534961,20535301,1,"3R","326270"
"FBgn0053193","FBgn0053193","sav","252554","CG33193",23058608,23061304,-1,"3R","252554"
"FBgn0053196","FBgn0053196","dpy","318824","CG33196",4477461,4614300,-1,"2L","318824"
"FBgn0053198","FBgn0053198","pen-2","251430","CG33198",18277438,18278762,1,"2R","251430"
"FBgn0053199","FBgn0053199","CG33199","326329","CG33199",8947680,8951086,-1,"2R","326329"
"FBgn0053200","FBgn0053200","VepD","117331","CG33200",22408524,22409342,1,"2R","117331"
"FBgn0053202","FBgn0053202","dpr11","40800","CG33202",6529168,6593330,-1,"3R","40800"
"FBgn0053203","FBgn0053203","CG33203","43414","CG33203",28870605,28887709,-1,"3R","43414"
"FBgn0053207","FBgn0053207","pxb","41899","CG33207",15666182,15690513,1,"3R","41899"
"FBgn0053208","FBgn0053208","Mical","41225","CG33208",10001553,10042895,-1,"3R","41225"
"FBgn0053213","FBgn0053213","CG33213","338395","CG33213",27918181,27919460,-1,"3R","338395"
"FBgn0053217","FBgn0053217","CG33217","2768951","CG33217",23126024,23132209,1,"3L","2768951"
"FBgn0053218","FBgn0053218","lncRNA:CR33218","12798099","CR33218",2330158,2330826,1,"X","12798099"
"FBgn0053221","FBgn0053221","CR33221","12798104","CR33221",NA,NA,NA,"12798104","12798104"
"FBgn0053222","FBgn0053222","CR33222","8674045","CR33222",NA,NA,NA,"8674045","8674045"
"FBgn0053223","FBgn0053223","CG33223","2768867","CG33223",8465689,8483885,-1,"X","2768867"
"FBgn0053225","FBgn0053225","CG33225","2768860","CG33225",21590274,21591584,1,"2R","2768860"
"FBgn0053229","FBgn0053229","CG33229","2768996","CG33229",223851,225605,1,"3L","2768996"
"FBgn0053230","FBgn0053230","CG33230","2768998","CG33230",1618413,1620397,1,"3L","2768998"
"FBgn0053233","FBgn0053233","CG33233","2769005","CG33233",2659638,2661501,1,"3L","2769005"
"FBgn0053234","FBgn0053234","CG33234","2769006","CG33234",2661621,2663622,1,"3L","2769006"
"FBgn0053252","FBgn0053252","CG33252","2768903","CG33252",16896214,16897187,-1,"X","2768903"
"FBgn0053260","FBgn0053260","Tsen34","2768977","CG33260",14760519,14761844,-1,"3L","2768977"
"FBgn0053265","FBgn0053265","Muc68E","2768990","CG33265",11967342,11972979,-1,"3L","2768990"
"FBgn0053267","FBgn0053267","CG33267","2768969","CG33267",11564482,11572796,1,"3L","2768969"
"FBgn0053269","FBgn0053269","CG33269","2768983","CG33269",11581414,11582197,-1,"3L","2768983"
"FBgn0053271","FBgn0053271","CG33271","2768972","CG33271",11577005,11577495,-1,"3L","2768972"
"FBgn0053276","FBgn0053276","Urm1","2768949","CG33276",7639810,7640446,-1,"3L","2768949"
"FBgn0053278","FBgn0053278","CG33278","2768946","CG33278",7450852,7452159,1,"3L","2768946"
"FBgn0053281","FBgn0053281","CG33281","2768938","CG33281",3324236,3326637,1,"2L","2768938"
"FBgn0053282","FBgn0053282","CG33282","2768939","CG33282",3327902,3329792,1,"2L","2768939"
"FBgn0053284","FBgn0053284","CG33284","2768989","CG33284",21123752,21124884,1,"3L","2768989"
"FBgn0053285","FBgn0053285","CG33285","2768988","CG33285",21088222,21088989,-1,"3L","2768988"
"FBgn0053286","FBgn0053286","CG33286","2768984","CG33286",20970811,20974700,-1,"3L","2768984"
"FBgn0053287","FBgn0053287","CG33287","2768986","CG33287",20966765,20970663,-1,"3L","2768986"
"FBgn0053288","FBgn0053288","CG33288","2768968","CG33288",21427789,21433066,1,"3L","2768968"
"FBgn0053293","FBgn0053293","CG33293","2768659","CG33293",5240013,5240735,-1,"3R","2768659"
"FBgn0053294","FBgn0053294","CR33294","3772637","CR33294",NA,NA,NA,"3772637","3772637"
"FBgn0053300","FBgn0053300","Muc30E","2768931","CG33300",9897819,9903128,-1,"2L","2768931"
"FBgn0053301","FBgn0053301","CG33301","2768917","CG33301",10049579,10051201,1,"2L","2768917"
"FBgn0053302","FBgn0053302","Cpr31A","2768918","CG33302",10054212,10055935,1,"2L","2768918"
"FBgn0053303","FBgn0053303","CG33303","2768916","CG33303",10373368,10375757,-1,"2L","2768916"
"FBgn0053306","FBgn0053306","CG33306","2768915","CG33306",13842887,13843742,-1,"2L","2768915"
"FBgn0053307","FBgn0053307","CG33307","2768914","CG33307",13839261,13841520,-1,"2L","2768914"
"FBgn0053309","FBgn0053309","CG33309","2768926","CG33309",14810760,14812599,1,"2L","2768926"
"FBgn0053310","FBgn0053310","CG33310","2768910","CG33310",15026881,15029512,1,"2L","2768910"
"FBgn0053317","FBgn0053317","CR33317","8674083","CR33317",NA,NA,NA,"8674083","8674083"
"FBgn0053318","FBgn0053318","CR33318","3771976","CR33318",NA,NA,NA,"3771976","3771976"
"FBgn0053319","FBgn0053319","CR33319","3772025","CR33319",NA,NA,NA,"3772025","3772025"
"FBgn0053322","FBgn0053322","CG33322","2768932","CG33322",20814336,20816240,-1,"2L","2768932"
"FBgn0053329","FBgn0053329","Sp212","2768666","CG33329",14222073,14224155,-1,"3R","2768666"
"FBgn0053340","FBgn0053340","CG33340","2768682","CG33340",24363137,24364289,1,"3R","2768682"
"FBgn0053346","FBgn0053346","CG33346","2768690","CG33346",28669232,28670452,1,"3R","2768690"
"FBgn0053458","FBgn0053458","CG33458","2768846","CG33458",16486673,16487801,1,"2R","2768846"
"FBgn0053459","FBgn0053459","CG33459","2768847","CG33459",16488052,16489182,1,"2R","2768847"
"FBgn0053460","FBgn0053460","CG33460","3885588","CG33460",15694091,15695232,1,"2R","3885588"
"FBgn0053461","FBgn0053461","CG33461","2768840","CG33461",15695385,15696478,1,"2R","2768840"
"FBgn0053462","FBgn0053462","CG33462","2768841","CG33462",15696793,15698010,1,"2R","2768841"
"FBgn0053465","FBgn0053465","CG33465","3885587","CG33465",15819113,15821114,-1,"2R","3885587"
"FBgn0053468","FBgn0053468","CG33468","2768833","CG33468",14606306,14606980,-1,"2R","2768833"
"FBgn0053469","FBgn0053469","CG33469","2768832","CG33469",14605651,14606302,-1,"2R","2768832"
"FBgn0053474","FBgn0053474","CG33474","2768725","CG33474",10421705,10422989,1,"2R","2768725"
"FBgn0053481","FBgn0053481","dpr7","2768865","CG33481",247123,253329,-1,"4","2768865"
"FBgn0053489","FBgn0053489","CG33489","2768971","CG33489",11574763,11577044,-1,"3L","2768971"
"FBgn0053490","FBgn0053490","CG33490","2768970","CG33490",11572796,11574663,-1,"3L","2768970"
"FBgn0053493","FBgn0053493","CG33493","2768994","CG33493",10692529,10693167,-1,"3L","2768994"
"FBgn0053494","FBgn0053494","CG33494","2768686","CG33494",25493480,25495161,-1,"3R","2768686"
"FBgn0053497","FBgn0053497","Sdic2","2768883","CG33497",20181589,20186487,-1,"X","2768883"
"FBgn0053499","FBgn0053499","Sdic4","2768886","CG33499",20182124,20225020,-1,"X","2768886"
"FBgn0053500","FBgn0053500","CG33500","2768957","CG33500",11508636,11508903,1,"3L","2768957"
"FBgn0053503","FBgn0053503","Cyp12d1-d","2768720","CG33503",11123657,11125647,-1,"2R","2768720"
"FBgn0053505","FBgn0053505","U3-55K","3346176","CG33505",14858844,14860758,-1,"2R","3346176"
"FBgn0053506","FBgn0053506","CG33506","3346177","CG33506",14857446,14858640,-1,"2R","3346177"
"FBgn0053508","FBgn0053508","ppk13","3346226","CG33508",21086789,21088751,-1,"2L","3346226"
"FBgn0053509","FBgn0053509","CG33509","3346225","CG33509",21084604,21086506,-1,"2L","3346225"
"FBgn0053510","FBgn0053510","CG33510","3346224","CG33510",21082642,21084326,-1,"2L","3346224"
"FBgn0053511","FBgn0053511","CG33511","3346223","CG33511",21081126,21082494,-1,"2L","3346223"
"FBgn0053512","FBgn0053512","dpr4","3346160","CG33512",11533482,11542949,-1,"3R","3346160"
"FBgn0053513","FBgn0053513","Nmdar2","31107","CG33513",1483624,1507809,-1,"X","31107"
"FBgn0053514","FBgn0053514","CG33514","3346239","CG33514",4365433,4366671,1,"3L","3346239"
"FBgn0053516","FBgn0053516","dpr3","3346208","CG33516",2058789,2109878,-1,"2L","3346208"
"FBgn0053517","FBgn0053517","Dop2R","33007","CG33517",20004679,20062706,-1,"X","33007"
"FBgn0053519","FBgn0053519","Unc-89","3346201","CG33519",23995542,24014254,-1,"2R","3346201"
"FBgn0053523","FBgn0053523","CG33523","38668","CG33523",5923861,5930120,1,"3L","38668"
"FBgn0053526","FBgn0053526","PNUTS","33270","CG33526",870464,877038,1,"2L","33270"
"FBgn0053527","FBgn0053527","SIFa","3346202","CG33527",24577565,24578143,-1,"2R","3346202"
"FBgn0053531","FBgn0053531","Ddr","3346209","CG33531",6253122,6323466,1,"2L","3346209"
"FBgn0053535","FBgn0053535","tRNA:Glu-TTC-1-3","3772259","CR33535",NA,NA,NA,"3772259","3772259"
"FBgn0053539","FBgn0053539","tRNA:Trp-CCA-2-5","3772429","CR33539",NA,NA,NA,"3772429","3772429"
"FBgn0053542","FBgn0053542","upd3","3346149","CG33542",18277232,18284596,1,"X","3346149"
"FBgn0053543","FBgn0053543","CG33543","3346207","CG33543",1997101,2006313,-1,"2L","3346207"
"FBgn0053544","FBgn0053544","Vkor","3346188","CG33544",16778364,16778994,1,"2R","3346188"
"FBgn0053547","FBgn0053547","Rim","42150","CG33547",17872747,17916578,-1,"3R","42150"
"FBgn0053548","FBgn0053548","SmydA-8","31200","CG33548",2205514,2213809,-1,"X","31200"
"FBgn0053552","FBgn0053552","CG33552","3346220","CG33552",16682502,16683290,1,"2L","3346220"
"FBgn0053554","FBgn0053554","Nipped-A","35483","CG33554",5177964,5251022,-1,"2R","35483"
"FBgn0053556","FBgn0053556","form3","3346238","CG33556",7094817,7123297,1,"3L","3346238"
"FBgn0053558","FBgn0053558","mim","2768716","CG33558",6924686,6971637,-1,"2R","2768716"
"FBgn0053635","FBgn0053635","CG33635","3772540","CG33635",157835,158664,-1,"2L","3772540"
"FBgn0053639","FBgn0053639","CG33639","32803","CG33639",18210811,18226076,-1,"X","32803"
"FBgn0053640","FBgn0053640","CG33640","3772680","CG33640",13527840,13528537,1,"2L","3772680"
"FBgn0053653","FBgn0053653","Cadps","49968","CG33653",1230836,1271759,1,"4","49968"
"FBgn0053664","FBgn0053664","CG33664","3772644","CG33664",6384219,6384899,1,"X","3772644"
"FBgn0053665","FBgn0053665","CG33665","3771952","CG33665",6478137,6478849,-1,"X","3771952"
"FBgn0053666","FBgn0053666","CG33666","3771730","CG33666",6476242,6476967,-1,"X","3771730"
"FBgn0053667","FBgn0053667","CG33667","3772511","CG33667",6471672,6472378,-1,"X","3772511"
"FBgn0053668","FBgn0053668","CG33668","3772084","CG33668",6418759,6419434,-1,"X","3772084"
"FBgn0053669","FBgn0053669","CG33669","3771864","CG33669",6399454,6400100,-1,"X","3771864"
"FBgn0053673","FBgn0053673","CG33673","3772423","CG33673",1945814,1946728,-1,"2L","3772423"
"FBgn0053687","FBgn0053687","CG33687","3772322","CG33687",16197867,16198852,1,"3L","3772322"
"FBgn0053696","FBgn0053696","CNMaR","39127","CG33696",9644108,9659433,1,"3L","39127"
"FBgn0053704","FBgn0053704","CG33704","3772359","CG33704",20950101,20951094,1,"2R","3772359"
"FBgn0053710","FBgn0053710","CG33710","3772611","CG33710",19951953,19952790,-1,"3L","3772611"
"FBgn0053723","FBgn0053723","CG33723","3772451","CG33723",9440010,9440740,-1,"2L","3772451"
"FBgn0053773","FBgn0053773","CG33773","3772436","CG33773",31035345,31036124,1,"3R","3772436"
"FBgn0053774","FBgn0053774","CG33774","3772288","CG33774",9399752,9400329,-1,"2R","3772288"
"FBgn0053792","FBgn0053792","CG33792","3772111","CG33792",12632673,12633454,1,"2R","3772111"
"FBgn0053795","FBgn0053795","CG33795","3772625","CG33795",16170728,16171380,-1,"3L","3772625"
"FBgn0053868","FBgn0053868","His2B:CG33868","3772265","CG33868",21438169,21538099,-1,"2L","3772265"
"FBgn0053914","FBgn0053914","CG33914","3772464","CG33914",7036767,7039050,-1,"2R","3772464"
"FBgn0053926","FBgn0053926","CG33926","39092","CG33926",9443231,9446388,1,"3L","39092"
"FBgn0053963","FBgn0053963","lncRNA:CR33963","3885572","CR33963",12659461,12660632,1,"X","3885572"
"FBgn0053965","FBgn0053965","CG33965","3885668","CG33965",1232881,1234015,1,"3L","3885668"
"FBgn0053966","FBgn0053966","CG33966","3885642","CG33966",1234129,1235420,1,"3L","3885642"
"FBgn0053969","FBgn0053969","CG33969","40252","CG33969",20391684,20393553,-1,"3L","40252"
"FBgn0053970","FBgn0053970","CG33970","43186","CG33970",26318354,26362588,1,"3R","43186"
"FBgn0053971","FBgn0053971","Ir62a","3885628","CG33971",1529438,1531259,-1,"3L","3885628"
"FBgn0053977","FBgn0053977","CG33977","3885575","CG33977",13402558,13403051,-1,"3R","3885575"
"FBgn0053978","FBgn0053978","CG33978","3885646","CG33978",157574,175639,-1,"4","3885646"
"FBgn0053983","FBgn0053983","obst-H","39681","CG33983",15528264,15529243,-1,"3L","39681"
"FBgn0053985","FBgn0053985","CG33985","3885639","CG33985",15525890,15526812,-1,"3L","3885639"
"FBgn0053988","FBgn0053988","Mid1","37953","CG33988",24695377,24736657,-1,"2R","37953"
"FBgn0053993","FBgn0053993","CG33993","3885637","CG33993",5933035,5950658,-1,"3L","3885637"
"FBgn0053998","FBgn0053998","CG33998","3885594","CG33998",18738491,18739143,1,"2R","3885594"
"FBgn0054001","FBgn0054001","CG34001","3885640","CG34001",10631078,10634612,1,"3L","3885640"
"FBgn0054003","FBgn0054003","NimB3","3885611","CG34003",13967463,13967985,-1,"2L","3885611"
"FBgn0054006","FBgn0054006","lncRNA:CR34006","19834888","CR34006",27216303,27218184,-1,"3R","19834888"
"FBgn0054008","FBgn0054008","CG34008","3885577","CG34008",20580682,20581522,-1,"3R","3885577"
"FBgn0054010","FBgn0054010","Glyat","3885627","CG34010",8009602,8010652,-1,"2L","3885627"
"FBgn0054012","FBgn0054012","CG34012","3885632","CG34012",11108819,11109505,-1,"3L","3885632"
"FBgn0054015","FBgn0054015","CG34015","3885570","CG34015",16447567,16448302,-1,"X","3885570"
"FBgn0054021","FBgn0054021","CG34021","3885589","CG34021",12336889,12337718,1,"2R","3885589"
"FBgn0054026","FBgn0054026","CG34026","3885569","CG34026",9533817,9534625,1,"X","3885569"
"FBgn0054027","FBgn0054027","CG34027","3885585","CG34027",25103669,25109032,-1,"3R","3885585"
"FBgn0054029","FBgn0054029","CG34029","3885592","CG34029",21970766,21971285,-1,"2R","3885592"
"FBgn0054030","FBgn0054030","CG34030","3885636","CG34030",7073475,7075247,-1,"3L","3885636"
"FBgn0054031","FBgn0054031","CG34031","3885665","CG34031",23174445,23185750,1,"3L","3885665"
"FBgn0054034","FBgn0054034","CG34034","3885584","CG34034",21738344,21739110,-1,"3R","3885584"
"FBgn0054038","FBgn0054038","CG34038","3885596","CG34038",25167658,25169855,1,"2R","3885596"
"FBgn0054039","FBgn0054039","CG34039","3885643","CG34039",14559999,14562613,1,"3L","3885643"
"FBgn0054043","FBgn0054043","CG34043","3885606","CG34043",10278950,10280872,-1,"2L","3885606"
"FBgn0054049","FBgn0054049","CG34049","3885620","CG34049",2264230,2265321,-1,"2L","3885620"
"FBgn0054054","FBgn0054054","CG34054","3885601","CG34054",11409809,11410438,-1,"2R","3885601"
"FBgn0054056","FBgn0054056","CG34056","38106","CG34056",895950,897364,1,"3L","38106"
"FBgn0054057","FBgn0054057","CG34057","3885645","CG34057",897379,898772,1,"3L","3885645"
